#SampleID	SourceSink	Env
EnvG_T2R1	source	EnvG
EnvG_T2R2	source	EnvG
EnvG_T2R3	source	EnvG
EnvG_T2R4	source	EnvG
EnvG_T2R5	source	EnvG
EnvG_T2R6	source	EnvG
EnvS_T2R1	source	EnvS
EnvS_T2R2	source	EnvS
EnvS_T2R3	source	EnvS
EnvS_T2R4	source	EnvS
EnvS_T2R5	source	EnvS
EnvS_T2R6	source	EnvS
LOT1A3	sink	Shrubland
LOT1A6	sink	Grassland
LOT1A7	sink	Grassland
LOT1A8	sink	Grassland
LOT1B2	sink	Shrubland
LOT1B4	sink	Shrubland
LOT1B5	sink	Grassland
LOT1B6	sink	Grassland
LOT1C1	sink	Shrubland
LOT1C2	sink	Shrubland
LOT1C4	sink	Shrubland
LOT1C5	sink	Grassland
LOT1C6	sink	Grassland
LOT1C8	sink	Grassland
LOT2A1	sink	Shrubland
LOT2A2	sink	Shrubland
LOT2A3	sink	Shrubland
LOT2A4	sink	Shrubland
LOT2A5	sink	Grassland
LOT2A6	sink	Grassland
LOT2A7	sink	Grassland
LOT2A8	sink	Grassland
LOT2B2	sink	Shrubland
LOT2B3	sink	Shrubland
LOT2B5	sink	Grassland
LOT2B6	sink	Grassland
LOT2B8	sink	Grassland
LOT2C1	sink	Shrubland
LOT2C2	sink	Shrubland
LOT2C3	sink	Shrubland
LOT2C5	sink	Grassland
LOT2C6	sink	Grassland
LOT2C7	sink	Grassland
LOT2C8	sink	Grassland
LOT3A1	sink	Shrubland
LOT3A2	sink	Shrubland
LOT3A3	sink	Shrubland
LOT3A4	sink	Shrubland
LOT3A5	sink	Grassland
LOT3A6	sink	Grassland
LOT3A7	sink	Grassland
LOT3A8	sink	Grassland
LOT3B1	sink	Shrubland
LOT3B2	sink	Shrubland
LOT3B3	sink	Shrubland
LOT3B4	sink	Shrubland
LOT3B5	sink	Grassland
LOT3B6	sink	Grassland
LOT3B7	sink	Grassland
LOT3B8	sink	Grassland
LOT3C1	sink	Shrubland
LOT3C2	sink	Shrubland
LOT3C3	sink	Shrubland
LOT3C4	sink	Shrubland
LOT3C5	sink	Grassland
LOT3C6	sink	Grassland
LOT3C7	sink	Grassland
LOT3C8	sink	Grassland
LOT4A3	sink	Shrubland
LOT4A4	sink	Shrubland
LOT4A5	sink	Grassland
LOT4A7	sink	Grassland
LOT4B1	sink	Shrubland
LOT4B3	sink	Shrubland
LOT4B4	sink	Shrubland
LOT4B5	sink	Grassland
LOT4B6	sink	Grassland
LOT4B7	sink	Grassland
LOT4C1	sink	Shrubland
LOT4C2	sink	Shrubland
LOT4C3	sink	Shrubland
LOT4C4	sink	Shrubland
LOT4C5	sink	Grassland
LOT4C7	sink	Grassland
LOT4C8	sink	Grassland
Soil_T2R1	source	Soil
Soil_T2R10	source	Soil
Soil_T2R11	source	Soil
Soil_T2R12	source	Soil
Soil_T2R2	source	Soil
Soil_T2R3	source	Soil
Soil_T2R4	source	Soil
Soil_T2R5	source	Soil
Soil_T2R6	source	Soil
Soil_T2R7	source	Soil
Soil_T2R8	source	Soil
Soil_T2R9	source	Soil
