"x"	"y"
"A1"	1122.93	-503.62
"A2"	1165.826	-722.836
"A3"	1187.274	-832.444
"A4"	1197.998	-887.248
"A5"	1209.08666666667	-943.714666666667
"A6"	1220.54	-1001.844
"A7"	1243.44666666667	-1118.10266666667
"A8"	1289.26	-1350.62
"B1"	973.69	-578.78
"B2"	964.543333333333	-799.361333333333
"B3"	959.97	-909.652
"B4"	957.683333333333	-964.797333333333
"B5"	953.896	-1020.722
"B6"	948.608	-1077.426
"B7"	938.032	-1190.834
"B8"	916.88	-1417.65
"C1"	583.1	-439.56
"C2"	556.129333333333	-661.053333333333
"C3"	542.644	-771.8
"C4"	535.901333333333	-827.173333333333
"C5"	530.393333333333	-884.119333333333
"C6"	526.12	-942.638
"C7"	517.573333333333	-1059.67533333333
"C8"	500.48	-1293.75
